학과,전공,학년,이수구분,코드,교과목명,분반,학점,교수,강의시간표,강의실,수강정원,강의유형구분,성적입력구분
전기전자공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,A,1,최여환,수[ 3],첨단항공강의실1[연암미래관1층106호],40,이론,PNP
전기전자공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,C,1,최여환,화[ 2],첨단항공강의실1[연암미래관1층106호],40,이론,PNP
전기전자공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,D,1,최여환,수[ 2],첨단항공강의실1[연암미래관1층106호],40,이론,PNP
전기전자공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,E,1,최여환,화[ 3],첨단항공강의실1[연암미래관1층106호],40,이론,PNP
전기전자공학과,계열(학과)공통,1학년,교양선택,120155,기계공학개론,A,2,최우영,"화[ 3, 4]",다목적강의실[연암미래관1층101호],40,이론,ABCDF
전기전자공학과,계열(학과)공통,1학년,교양선택,120155,기계공학개론,C,2,최우영,"월[ 1, 2]",다목적강의실[연암미래관1층101호],40,이론,ABCDF
전기전자공학과,계열(학과)공통,1학년,교양선택,K0125293,창의융합적문제해결,C,2,이석운,"금[ 8, 9]",다목적강의실[연암미래관1층101호],40,이론,ABCDF
전기전자공학과,계열(학과)공통,1학년,교양선택,K0125293,창의융합적문제해결,E,2,이석운,"목[ 7, 8]",다목적강의실[연암미래관1층101호],40,이론,ABCDF
기계공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,A,1,감병곤,금[ 2],첨단항공강의실2[연암미래관1층107호],0,이론,PNP
기계공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,B,1,감병곤,금[ 7],첨단항공강의실2[연암미래관1층107호],0,이론,PNP
기계공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,C,1,감병곤,금[ 8],첨단항공강의실2[연암미래관1층107호],0,이론,PNP
기계공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,D,1,감병곤,금[ 3],첨단항공강의실2[연암미래관1층107호],0,이론,PNP
기계공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,E,1,감병곤,금[ 5],첨단항공강의실2[연암미래관1층107호],0,이론,PNP
기계공학과,계열(학과)공통,1학년,교양선택,K0125565,MZ세대를위한직업윤리,F,1,감병곤,금[ 6],첨단항공강의실2[연암미래관1층107호],0,이론,PNP
기계공학과,계열(학과)공통,1학년,교양선택,K0124722,Python,A,3,윤종찬,"화[ 1, 2, 3]",(산협)프로젝트실5[산학협동관지상3층I302호],,이론실습,ABCDF
기계공학과,계열(학과)공통,1학년,교양선택,K0124722,Python,C,3,우상범,"수[ 5, 6, 7]",(산협)프로젝트실5[산학협동관지상3층I302호],,이론실습,ABCDF
기계공학과,계열(학과)공통,1학년,교양선택,K0124722,Python,D,3,김동근,"월[ 5, 6, 7]",(산협)프로젝트실5[산학협동관지상3층I302호],,이론실습,ABCDF
기계공학과,계열(학과)공통,2학년,교양선택,K0125216,AI활용,C,3,이쌍수,"월[ 8, 9]/목[ 1]","(외부)원격강의4[특별강의동1층S194호],(산협)프로젝트실5[산학협동관지상3층I302호]",0,이론실습,ABCDF
기계공학과,계열(학과)공통,2학년,교양선택,K0125216,AI활용,D,3,이쌍수,"월[ 8, 9]/화[ 9]","(외부)원격강의5[특별강의동1층S195호],(산협)프로젝트실5[산학협동관지상3층I302호]",0,이론실습,ABCDF
